=== SHEET: 기능정의서 ===
아이돌공구 기능정의서 v3									
아이돌 포토카드 분철 공구 플랫폼 | 플랫폼 계좌(가상계좌) 입금 · 영수증/송장 문서 AI 자동 구조화 · 단계별 갱신 리포트 | P0 필수·P1 우선·P2 고도화									
구분	화면ID	화면명	기능ID	기능명	상세 설명	입력값	출력·결과	연동·비고	우선순위
공통·인증	SPL	스플래시	SPL-01	앱 진입/자동로그인	실행 시 토큰 유효성 확인 후 자동 분기	-	로그인/홈 이동	세션 토큰 검증	P0
공통·인증	LGN	로그인	LGN-01	이메일 로그인	이메일·비밀번호 인증	이메일,비밀번호	성공→홈/실패→오류	비밀번호 암호화	P0
공통·인증	LGN	로그인	LGN-02	소셜 로그인	카카오/애플 간편 로그인	소셜 인증	계정 생성/연결	OAuth	P1
공통·인증	LGN	로그인	LGN-03	비밀번호 찾기	이메일 인증으로 재설정	이메일	재설정 링크	-	P1
공통·인증	SGN	회원가입	SGN-01	기본정보 입력	닉네임·이메일·비밀번호·약관동의	닉네임,이메일,비밀번호	계정 생성	닉네임 중복검사	P0
공통·인증	SGN	회원가입	SGN-02	관심 아이돌 선택	검색·알림·추천에 사용	아이돌/그룹	프로필 저장	검색·알림 연동	P0
공통·인증	SGN	회원가입	SGN-03	시작 역할 선택	참여자/총대 선택(전환 가능)	역할값	역할별 홈	마이페이지서 전환	P0
공통·인증	ACCT	계좌 등록	ACCT-01	환급·정산 계좌 등록	환불·정산을 받을 본인 계좌 등록. 카드 등록 없음(무통장 입금 방식)	은행,계좌번호,예금주	계좌 저장	계좌번호 암호화 저장	P0
공통·인증	ACCT	계좌 등록	ACCT-02	예금주 실명확인	등록 계좌의 예금주명 일치 확인	계좌정보	확인 결과	금융 API 연동	P1
홈	HOME	홈	HOME-01	역할별 홈	참여자=검색 / 총대=대시보드 중심	역할값	홈 화면	-	P0
홈	HOME	홈	HOME-02	역할 전환	상단에서 참여자↔총대 즉시 전환	전환 클릭	네비 갱신	1인 2역	P1
홈	HOME	홈	HOME-03	추천·인기 공구	관심 아이돌 기반 추천·마감임박 노출	관심 아이돌	공구 리스트	추천 알고리즘	P2
참여자	SRCH	빈자리 검색	SRCH-01	통합 검색	아이돌·멤버·굿즈·제목 검색	검색어	공구 리스트	-	P0
참여자	SRCH	빈자리 검색	SRCH-02	조건 필터	그룹·굿즈유형·가격대 필터	필터값	필터 리스트	-	P0
참여자	SRCH	빈자리 검색	SRCH-03	최애 빈자리만 보기	선택 멤버 자리가 '빈자리'인 공구만 필터	멤버,토글	필터 리스트	핵심 기능	P0
참여자	SRCH	빈자리 검색	SRCH-04	자리 알림 대기등록	자리 없을 때 대기 등록→열리면 즉시 매칭	멤버·조건	대기열 등록	공석 급구 연동	P0
참여자	SRCH	빈자리 검색	SRCH-05	공구 카드	멤버칩·신뢰도·보증금·가격·급구 태그	-	상세 진입	-	P0
참여자	DETL	공구 상세	DETL-01	자리 목록·선택	멤버별 상태/가격, 빈자리만 신청 가능	-	자리 선택	-	P0
참여자	DETL	공구 상세	DETL-02	총대 신뢰도·보증금 조회	완료건수·후기·신고·보증금 예치·인증 배지	-	신뢰도 표시	신뢰 레이어	P0
참여자	DETL	공구 상세	DETL-03	구매 증빙 열람	영수증에서 자동 추출된 구조화 정보 + 마스킹 이미지 확인	-	증빙 팝업	DOCS·PURC 연동	P0
참여자	DETL	공구 상세	DETL-04	실시간 진행 현황	개설→모집→입금→구매→개봉→발송→정산 타임라인	-	현황 타임라인	자동반영	P0
참여자	DETL	공구 상세	DETL-05	자리 선점 홀드	자리 선택 시 5분 홀드. 입금 확인 시 확정, 미입금 시 자동 해제	자리 선택	홀드 타이머	선착순 배타 락	P0
참여자	APLY	신청·배송정보	APLY-01	배송정보 입력	받는분·연락처·주소 입력	이름·연락처·주소	취합표 자동반영	총대엔 취합표로만	P0
참여자	APLY	신청·배송정보	APLY-02	금액 확인	자리금액+이용료+배송비(정원 기준 고정)	-	입금 금액	변동 없음	P0
참여자	CHKO	입금 안내	CHKO-01	전용 가상계좌 발급	신청 건마다 고유 가상계좌 발급. 입금자명 매칭 불필요	신청 건	가상계좌번호	플랫폼 계좌 입금	P0
참여자	CHKO	입금 안내	CHKO-02	입금 자동 확인	입금 발생 시 은행 통지로 자동 확인·자리 확정	입금 통지	입금완료 처리	사람 개입 없음	P0
참여자	CHKO	입금 안내	CHKO-03	입금 기한 만료	홀드 5분 내 미입금 시 자동 해제·자리 복귀	경과시간	홀드 해제	-	P0
참여자	DONE	신청 완료	DONE-01	완료 안내	보관금액·자리·예상수령 안내	-	완료 화면	-	P0
참여자	MYJN	내 참여 현황	MYJN-01	참여 목록	진행중/완료·보관금액 표시	-	참여 리스트	-	P0
참여자	MYJN	내 참여 현황	MYJN-02	진행 지켜보기	모집→입금→구매→개봉→발송 실시간 확인	-	진행 타임라인	자동반영	P0
참여자	MYJN	내 참여 현황	MYJN-03	배송 추적	송장 연동 배송 상태 조회	-	배송 상태	택배사 API	P1
참여자	MYJN	내 참여 현황	MYJN-04	수령 확인	확인 시 정산·보증금 반환 트리거	확인 클릭	정산 개시	-	P0
참여자	MYJN	내 참여 현황	MYJN-05	후기·평점 작성	총대 평가로 신뢰도 반영	평점·후기	신뢰도 갱신	신뢰 레이어	P1
참여자	MYJN	내 참여 현황	MYJN-06	분쟁 신고	누락·하자·미이행 신고	신고 내용	분쟁 접수	보증금 몰수 연동	P1
참여자	MYJN	내 참여 현황	MYJN-07	수령 자동확정	배송완료 D+7 미확인 시 자동 확정→정산 개시. 분쟁 시 보류	경과일	자동 확정	-	P0
총대	CRTE	공구 개설	CRTE-01	공구 정보 입력	아이돌·굿즈·제목·1차 판매처·마감일·예상발송	공구 정보	공구 초안	검색데이터 자동전환	P0
총대	CRTE	공구 개설	CRTE-02	멤버 자리·가격 설정	멤버별 자리 추가/삭제·가격 설정	멤버·가격	자리 구성	차등가격 가능	P0
총대	CRTE	공구 개설	CRTE-03	필요 앨범 수량 선언	자리 수 기준으로 몇 장 구매할지 선언. 영수증 검증 기준값	앨범 수량	검증 기준	PURC-04 대조 기준	P0
총대	CRTE	공구 개설	CRTE-04	공구 오픈	등록 즉시 검색 노출·모집 시작	오픈 클릭	공구 공개	-	P0
